dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
11/08/2021,11,8,2021,344,2,Estonia,EE,EST,1328976,Europe
12/08/2021,12,8,2021,372,0,Estonia,EE,EST,1328976,Europe
13/08/2021,13,8,2021,272,0,Estonia,EE,EST,1328976,Europe
14/08/2021,14,8,2021,290,0,Estonia,EE,EST,1328976,Europe
15/08/2021,15,8,2021,202,0,Estonia,EE,EST,1328976,Europe
16/08/2021,16,8,2021,163,0,Estonia,EE,EST,1328976,Europe
17/08/2021,17,8,2021,359,2,Estonia,EE,EST,1328976,Europe
18/08/2021,18,8,2021,286,0,Estonia,EE,EST,1328976,Europe
19/08/2021,19,8,2021,357,0,Estonia,EE,EST,1328976,Europe
20/08/2021,20,8,2021,331,0,Estonia,EE,EST,1328976,Europe
21/08/2021,21,8,2021,218,0,Estonia,EE,EST,1328976,Europe
22/08/2021,22,8,2021,101,0,Estonia,EE,EST,1328976,Europe
23/08/2021,23,8,2021,319,4,Estonia,EE,EST,1328976,Europe
24/08/2021,24,8,2021,414,0,Estonia,EE,EST,1328976,Europe
25/08/2021,25,8,2021,397,0,Estonia,EE,EST,1328976,Europe
26/08/2021,26,8,2021,404,1,Estonia,EE,EST,1328976,Europe
27/08/2021,27,8,2021,351,1,Estonia,EE,EST,1328976,Europe
28/08/2021,28,8,2021,322,0,Estonia,EE,EST,1328976,Europe
29/08/2021,29,8,2021,330,0,Estonia,EE,EST,1328976,Europe
30/08/2021,30,8,2021,255,4,Estonia,EE,EST,1328976,Europe
31/08/2021,31,8,2021,357,0,Estonia,EE,EST,1328976,Europe
01/09/2021,1,9,2021,407,2,Estonia,EE,EST,1328976,Europe
02/09/2021,2,9,2021,474,2,Estonia,EE,EST,1328976,Europe
03/09/2021,3,9,2021,344,0,Estonia,EE,EST,1328976,Europe
04/09/2021,4,9,2021,352,2,Estonia,EE,EST,1328976,Europe
05/09/2021,5,9,2021,255,4,Estonia,EE,EST,1328976,Europe
06/09/2021,6,9,2021,213,1,Estonia,EE,EST,1328976,Europe
07/09/2021,7,9,2021,389,0,Estonia,EE,EST,1328976,Europe
08/09/2021,8,9,2021,488,3,Estonia,EE,EST,1328976,Europe
09/09/2021,9,9,2021,467,2,Estonia,EE,EST,1328976,Europe
10/09/2021,10,9,2021,540,2,Estonia,EE,EST,1328976,Europe
11/09/2021,11,9,2021,493,1,Estonia,EE,EST,1328976,Europe
12/09/2021,12,9,2021,329,2,Estonia,EE,EST,1328976,Europe
13/09/2021,13,9,2021,177,1,Estonia,EE,EST,1328976,Europe
14/09/2021,14,9,2021,473,0,Estonia,EE,EST,1328976,Europe
15/09/2021,15,9,2021,524,2,Estonia,EE,EST,1328976,Europe
16/09/2021,16,9,2021,510,5,Estonia,EE,EST,1328976,Europe
17/09/2021,17,9,2021,532,2,Estonia,EE,EST,1328976,Europe
18/09/2021,18,9,2021,391,3,Estonia,EE,EST,1328976,Europe
19/09/2021,19,9,2021,462,1,Estonia,EE,EST,1328976,Europe
20/09/2021,20,9,2021,366,2,Estonia,EE,EST,1328976,Europe
21/09/2021,21,9,2021,463,5,Estonia,EE,EST,1328976,Europe
22/09/2021,22,9,2021,687,2,Estonia,EE,EST,1328976,Europe
23/09/2021,23,9,2021,589,0,Estonia,EE,EST,1328976,Europe
24/09/2021,24,9,2021,548,8,Estonia,EE,EST,1328976,Europe
25/09/2021,25,9,2021,642,0,Estonia,EE,EST,1328976,Europe
26/09/2021,26,9,2021,465,1,Estonia,EE,EST,1328976,Europe
27/09/2021,27,9,2021,390,2,Estonia,EE,EST,1328976,Europe
28/09/2021,28,9,2021,796,5,Estonia,EE,EST,1328976,Europe
29/09/2021,29,9,2021,747,0,Estonia,EE,EST,1328976,Europe
